Date,Serial,Model,PartNumber,Status,Red Led X Status,Red Led X Time
08/12/2022,AL47272463-CKMX215224400019-AAB-A.02,Switchback,47272463+C,True,True,0.739900
14/12/2022,AL47272463-CKMX215224400020-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224400021-AAB-A.02,Switchback,,False,,
14/12/2022,AL47272463-CKMX215224400021-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224400021-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215224400021-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224400025-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224400025-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224400033-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224400033-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224400057-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224400057-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500001-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500002-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500003-AAB-A.02,Switchback,47272463+C,False,True,0.739900
22/11/2022,AL47272463-CKMX215224500003-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500004-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500005-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500006-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500007-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500008-AAB-A.02,Switchback,47272463+C,False,True,0.739900
22/11/2022,AL47272463-CKMX215224500008-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500009-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224500009-AAB-A.02,Switchback,47272463+C,False,,
21/11/2022,AL47272463-CKMX215224500010-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500011-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224500011-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224500011-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224500011-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224500011-AAB-A.02,Switchback,,False,,
21/11/2022,AL47272463-CKMX215224500012-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500013-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500014-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500015-AAB-A.02,Switchback,47272463+C,False,True,0.739900
08/12/2022,AL47272463-CKMX215224500015-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224500016-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224500017-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224500017-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224500018-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600003-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600004-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224600004-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224600005-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600005-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224600006-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600008-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600010-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600010-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224600011-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600012-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600012-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600012-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600013-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600013-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224600015-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600015-AAB-A.02,Switchback,47272463+C,False,,
21/11/2022,AL47272463-CKMX215224600016-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600017-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600018-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600018-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600018-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600019-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600019-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600020-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224600020-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600020-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600021-AAB-A.02,Switchback,47272463+C,False,,
22/11/2022,AL47272463-CKMX215224600021-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600024-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600025-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600025-AAB-A.02,Switchback,,False,,
22/11/2022,AL47272463-CKMX215224600026-AAB-A.02,Switchback,47272463+C,True,True,0.739900
22/11/2022,AL47272463-CKMX215224600027-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215224600028-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224600029-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600029-AAB-A.02,Switchback,47272463+C,False,,
21/11/2022,AL47272463-CKMX215224600030-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224600031-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600031-AAB-A.02,Switchback,47272463+C,False,,
01/12/2022,AL47272463-CKMX215224600032-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600034-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600035-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224600035-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224600036-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600036-AAB-A.02,Switchback,47272463+C,False,,
21/11/2022,AL47272463-CKMX215224600037-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215224600038-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900003-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900003-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900004-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900004-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900005-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900005-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900005-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900006-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900007-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215224900007-AAB-A.02,Switchback,47272463+C,True,True,0.739900
14/12/2022,AL47272463-CKMX215224900007-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900008-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900008-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900009-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900010-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900011-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900011-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900012-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900013-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900014-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900015-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900015-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900015-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900016-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215224900016-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900017-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900018-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900019-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900020-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900021-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215224900021-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215224900021-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900022-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900023-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900024-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900025-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900026-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900027-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900028-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900029-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900030-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900031-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900032-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900032-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900033-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900034-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900035-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900036-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224900036-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900037-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900038-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900039-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900040-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900041-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900043-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900044-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900045-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900046-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900047-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900048-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900049-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900050-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900051-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900052-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900053-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900054-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900055-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900056-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900057-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900058-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900059-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900060-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900061-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900062-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900063-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224900063-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900064-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900065-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900066-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900068-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215224900069-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224900069-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000001-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000001-AAB-A.02,Switchback,47272463+C,False,,
14/12/2022,AL47272463-CKMX215225000001-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000002-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000002-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000003-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000003-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000003-AAB-A.02,Switchback,,False,,
14/12/2022,AL47272463-CKMX215225000003-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000004-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000004-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000006-AAB-A.02,Switchback,,False,,
12/12/2022,AL47272463-CKMX215225000006-AAB-A.02,Switchback,,False,,
12/12/2022,AL47272463-CKMX215225000006-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000008-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000009-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000009-AAB-A.02,Switchback,,False,,
12/12/2022,AL47272463-CKMX215225000010-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000010-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000011-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000011-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000011-AAB-A.02,Switchback,,False,,
14/12/2022,AL47272463-CKMX215225000011-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000012-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000012-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000012-AAB-A.02,Switchback,,False,,
14/12/2022,AL47272463-CKMX215225000012-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000013-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000014-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000015-AAB-A.02,Switchback,,False,,
12/12/2022,AL47272463-CKMX215225000015-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000016-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000016-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000017-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000018-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000019-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000020-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000021-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000022-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000022-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000023-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000024-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000025-AAB-A.02,Switchback,47272463+C,True,True,0.739900
13/12/2022,AL47272463-CKMX215225000026-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000028-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000029-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000030-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215225000030-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000031-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000032-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000033-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000034-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000035-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215225000036-AAB-A.02,Switchback,47272463+C,True,True,0.739900
