Model,PartNumber,Date,Cycle Time
Switchback,47272463+C,2022-12-08 00:00:00,138.6142055
Switchback,47272463+C,2022-12-08 00:00:00,136.2181434
Switchback,47272463+C,2022-12-14 00:00:00,135.9763478
Switchback,47272463+C,2022-12-08 00:00:00,153.6651623
Switchback,47272463+C,2022-12-08 00:00:00,136.3135843
Switchback,47272463+C,2022-12-08 00:00:00,138.5405105
Switchback,47272463+C,2022-12-08 00:00:00,137.8177091
Switchback,47272463+C,2022-12-08 00:00:00,151.1195228
Switchback,47272463+C,2022-12-08 00:00:00,136.2946638
Switchback,47272463+C,2022-12-08 00:00:00,135.7412118
Switchback,47272463+C,2022-12-08 00:00:00,137.3836574
Switchback,47272463+C,2022-12-14 00:00:00,162.2973289
Switchback,47272463+C,2022-12-08 00:00:00,137.5477577
Switchback,47272463+C,2022-12-08 00:00:00,136.6061495
Switchback,47272463+C,2022-12-08 00:00:00,135.5854119
Switchback,47272463+C,2022-12-08 00:00:00,147.7057914
Switchback,47272463+C,2022-12-08 00:00:00,150.9316777
Switchback,47272463+C,2022-12-08 00:00:00,135.0090248
Switchback,47272463+C,2022-12-08 00:00:00,136.7809541
Switchback,47272463+C,2022-12-08 00:00:00,139.3714974
Switchback,47272463+C,2022-12-08 00:00:00,149.1324038
Switchback,47272463+C,2022-12-08 00:00:00,150.4064329
Switchback,47272463+C,2022-12-08 00:00:00,134.4206447
Switchback,47272463+C,2022-12-08 00:00:00,138.2781341
Switchback,47272463+C,2022-12-08 00:00:00,163.4548557
Switchback,47272463+C,2022-12-08 00:00:00,138.325921
Switchback,47272463+C,2022-12-08 00:00:00,134.7994652
Switchback,47272463+C,2022-12-08 00:00:00,161.4779261
Switchback,47272463+C,2022-12-08 00:00:00,152.8197047
Switchback,47272463+C,2022-12-08 00:00:00,136.6534111
Switchback,47272463+C,2022-12-08 00:00:00,135.8915599
Switchback,47272463+C,2022-12-08 00:00:00,135.0026214
Switchback,47272463+C,2022-12-08 00:00:00,139.7098141
Switchback,47272463+C,2022-12-08 00:00:00,134.8722333
Switchback,47272463+C,2022-12-08 00:00:00,137.5704457
Switchback,47272463+C,2022-12-08 00:00:00,135.9576156
Switchback,47272463+C,2022-12-08 00:00:00,149.8364977
Switchback,47272463+C,2022-12-08 00:00:00,138.0471938
Switchback,47272463+C,2022-12-08 00:00:00,139.782346
Switchback,47272463+C,2022-12-08 00:00:00,138.4398036
Switchback,47272463+C,2022-12-08 00:00:00,148.4309403
Switchback,47272463+C,2022-12-08 00:00:00,151.4028889
Switchback,47272463+C,2022-12-08 00:00:00,136.3608385
Switchback,47272463+C,2022-12-08 00:00:00,136.3390558
Switchback,47272463+C,2022-12-08 00:00:00,137.3278523
Switchback,47272463+C,2022-12-08 00:00:00,150.0994741
Switchback,47272463+C,2022-12-08 00:00:00,149.3193551
Switchback,47272463+C,2022-12-08 00:00:00,141.0769078
Switchback,47272463+C,2022-12-08 00:00:00,133.8657503
Switchback,47272463+C,2022-12-08 00:00:00,138.109435
Switchback,47272463+C,2022-12-08 00:00:00,150.8635699
Switchback,47272463+C,2022-12-08 00:00:00,135.0605322
Switchback,47272463+C,2022-12-08 00:00:00,138.5361497
Switchback,47272463+C,2022-12-08 00:00:00,151.4327628
Switchback,47272463+C,2022-12-08 00:00:00,136.5921318
Switchback,47272463+C,2022-12-08 00:00:00,154.9288019
Switchback,47272463+C,2022-12-08 00:00:00,135.9910866
Switchback,47272463+C,2022-12-08 00:00:00,135.2101842
Switchback,47272463+C,2022-12-08 00:00:00,135.041906
Switchback,47272463+C,2022-12-08 00:00:00,138.6102986
Switchback,47272463+C,2022-12-08 00:00:00,136.2686814
Switchback,47272463+C,2022-12-14 00:00:00,163.2818163
Switchback,47272463+C,2022-12-14 00:00:00,175.1484579
Switchback,47272463+C,2022-12-12 00:00:00,135.4939694
Switchback,47272463+C,2022-12-14 00:00:00,162.6120215
Switchback,47272463+C,2022-12-12 00:00:00,150.4648226
Switchback,47272463+C,2022-12-12 00:00:00,141.3361053
Switchback,47272463+C,2022-12-12 00:00:00,136.9762592
Switchback,47272463+C,2022-12-12 00:00:00,136.7495895
Switchback,47272463+C,2022-12-12 00:00:00,136.8032297
Switchback,47272463+C,2022-12-14 00:00:00,187.581124
Switchback,47272463+C,2022-12-14 00:00:00,135.7424167
Switchback,47272463+C,2022-12-12 00:00:00,152.9976518
Switchback,47272463+C,2022-12-12 00:00:00,138.3229602
Switchback,47272463+C,2022-12-12 00:00:00,150.4069083
Switchback,47272463+C,2022-12-12 00:00:00,133.2847022
Switchback,47272463+C,2022-12-12 00:00:00,135.1704537
Switchback,47272463+C,2022-12-12 00:00:00,135.796588
Switchback,47272463+C,2022-12-12 00:00:00,135.0284093
Switchback,47272463+C,2022-12-12 00:00:00,135.7415851
Switchback,47272463+C,2022-12-12 00:00:00,136.3195078
Switchback,47272463+C,2022-12-12 00:00:00,135.1705112
Switchback,47272463+C,2022-12-12 00:00:00,133.7344185
Switchback,47272463+C,2022-12-12 00:00:00,148.5172159
Switchback,47272463+C,2022-12-13 00:00:00,136.2619014
Switchback,47272463+C,2022-12-12 00:00:00,150.4413141
Switchback,47272463+C,2022-12-12 00:00:00,161.7048999
Switchback,47272463+C,2022-12-12 00:00:00,137.6132443
Switchback,47272463+C,2022-12-12 00:00:00,137.1339322
Switchback,47272463+C,2022-12-12 00:00:00,136.1469559
Switchback,47272463+C,2022-12-12 00:00:00,134.8809735
Switchback,47272463+C,2022-12-12 00:00:00,135.1948598
Switchback,47272463+C,2022-12-12 00:00:00,164.008133
Switchback,47272463+C,2022-12-12 00:00:00,139.376922
Switchback,47272463+C,2022-12-12 00:00:00,150.5838845
Switchback,47272463+C,2022-12-12 00:00:00,135.5774491
Switchback,47272463+C,2022-12-12 00:00:00,151.0344867
Switchback,47272463+C,2022-12-12 00:00:00,135.0129797
Switchback,47272463+C,2022-12-12 00:00:00,136.0103889
Switchback,47272463+C,2022-12-12 00:00:00,163.8905236
Switchback,47272463+C,2022-12-12 00:00:00,135.4772543
Switchback,47272463+C,2022-12-13 00:00:00,133.664549
Switchback,47272463+C,2022-12-12 00:00:00,136.5411595
Switchback,47272463+C,2022-12-12 00:00:00,134.9932459
Switchback,47272463+C,2022-12-12 00:00:00,135.3277394
Switchback,47272463+C,2022-12-12 00:00:00,136.3625737
Switchback,47272463+C,2022-12-12 00:00:00,137.1878348
Switchback,47272463+C,2022-12-12 00:00:00,135.853694
Switchback,47272463+C,2022-12-12 00:00:00,136.2957172
Switchback,47272463+C,2022-12-12 00:00:00,136.5697598
Switchback,47272463+C,2022-12-12 00:00:00,151.6701585
Switchback,47272463+C,2022-12-14 00:00:00,134.5555734
Switchback,47272463+C,2022-12-12 00:00:00,137.017108
Switchback,47272463+C,2022-12-12 00:00:00,190.1013111
Switchback,47272463+C,2022-12-12 00:00:00,134.1386792
Switchback,47272463+C,2022-12-12 00:00:00,135.9722818
Switchback,47272463+C,2022-12-12 00:00:00,149.933242
Switchback,47272463+C,2022-12-12 00:00:00,147.9086604
Switchback,47272463+C,2022-12-12 00:00:00,151.2761699
Switchback,47272463+C,2022-12-12 00:00:00,135.7750858
Switchback,47272463+C,2022-12-12 00:00:00,135.817824
Switchback,47272463+C,2022-12-12 00:00:00,134.8262567
Switchback,47272463+C,2022-12-13 00:00:00,149.2491388
Switchback,47272463+C,2022-12-12 00:00:00,163.9832092
Switchback,47272463+C,2022-12-13 00:00:00,146.808726
Switchback,47272463+C,2022-12-12 00:00:00,135.0361528
Switchback,47272463+C,2022-12-12 00:00:00,134.0692701
Switchback,47272463+C,2022-12-12 00:00:00,137.0813261
Switchback,47272463+C,2022-12-12 00:00:00,149.8973999
Switchback,47272463+C,2022-12-12 00:00:00,149.6506231
Switchback,47272463+C,2022-12-12 00:00:00,134.8012325
Switchback,47272463+C,2022-12-12 00:00:00,135.3505015
Switchback,47272463+C,2022-12-12 00:00:00,136.5357714
Switchback,47272463+C,2022-12-12 00:00:00,153.5836401
Switchback,47272463+C,2022-12-12 00:00:00,135.4493198
Switchback,47272463+C,2022-12-12 00:00:00,150.383381
Switchback,47272463+C,2022-12-12 00:00:00,137.3498387
Switchback,47272463+C,2022-12-14 00:00:00,136.5561685
Switchback,47272463+C,2022-12-12 00:00:00,149.6853286
Switchback,47272463+C,2022-12-12 00:00:00,163.4652665
Switchback,47272463+C,2022-12-12 00:00:00,137.2529293
Switchback,47272463+C,2022-12-12 00:00:00,137.259536
Switchback,47272463+C,2022-12-12 00:00:00,136.3199676
Switchback,47272463+C,2022-12-12 00:00:00,149.1017645
Switchback,47272463+C,2022-12-12 00:00:00,165.0520124
Switchback,47272463+C,2022-12-12 00:00:00,136.3854137
Switchback,47272463+C,2022-12-12 00:00:00,176.9315686
Switchback,47272463+C,2022-12-12 00:00:00,134.3973911
Switchback,47272463+C,2022-12-14 00:00:00,137.2454248
Switchback,47272463+C,2022-12-12 00:00:00,142.1191214
Switchback,47272463+C,2022-12-12 00:00:00,150.819237
Switchback,47272463+C,2022-12-12 00:00:00,164.1512324
Switchback,47272463+C,2022-12-12 00:00:00,134.8892926
Switchback,47272463+C,2022-12-12 00:00:00,136.9148268
Switchback,47272463+C,2022-12-12 00:00:00,164.7597072
Switchback,47272463+C,2022-12-12 00:00:00,149.1089214
Switchback,47272463+C,2022-12-12 00:00:00,134.8479924
Switchback,47272463+C,2022-12-12 00:00:00,136.1685551
Switchback,47272463+C,2022-12-12 00:00:00,135.0572294
Switchback,47272463+C,2022-12-12 00:00:00,133.2151203
Switchback,47272463+C,2022-12-12 00:00:00,162.8959752
